kappa,trial,c,eps,n_outer,total_inner,converged,rp,rs,f_rel,lam_rel,cpu
10.0,3,0.0001,1e-06,500,10956,False,31.418130628284413,2.4817487656452592e-08,0.638705731098732,0.3213019935452969,0.09721827507019043
10.0,3,0.001,1e-06,500,10526,False,0.04130844166948225,2.3789803084876386e-10,0.0004300096983448748,0.0006681178991466708,0.0938425064086914
10.0,3,0.01,1e-06,150,3150,True,9.149024900654162e-07,5.1608513095642313e-14,4.710866907497883e-09,1.5368911299047935e-08,0.02701115608215332
10.0,3,0.1,1e-06,22,594,True,5.537570640671115e-07,7.323181671069872e-13,3.2283210618698e-09,9.279687293105004e-09,0.005658626556396484
10.0,3,1.0,1e-06,7,269,True,2.6655124412002274e-07,1.787058631529768e-11,2.9713884044390485e-09,4.2784735530500175e-09,0.0
10.0,3,10.0,1e-06,4,201,True,9.593222120030426e-08,8.080136801752589e-10,1.5982904496272304e-09,1.3599525792213763e-09,0.0036547183990478516
10.0,3,100.0,1e-06,3,155,True,2.5011156230554035e-08,1.0852312852858842e-08,3.5632287647373843e-10,2.4283438378299514e-10,0.0010161399841308594
10.0,3,1000.0,1e-06,3,167,True,2.64794899915954e-09,2.073063293127438e-07,1.37324484006384e-11,1.139086583058991e-09,0.0009872913360595703
10.0,3,10000.0,1e-06,3,186,True,6.357745856622717e-11,9.856971424513226e-07,6.167788307648364e-14,1.564320673489811e-08,0.002000570297241211
10.0,4,0.0001,0.01,500,4000,False,32.33139914407786,0.00017332396550498563,1.068345607450554,0.3347414428711505,0.045706748962402344
10.0,4,0.001,0.01,500,3999,False,0.03825973789553889,1.5344864914236663e-06,0.0008252068861392041,0.0005616013195042858,0.0454716682434082
10.0,4,0.01,0.01,137,967,True,9.92475678654393e-07,6.633221466964574e-10,1.634879899693582e-08,1.5065865433279313e-08,0.011656999588012695
10.0,4,0.1,0.01,21,205,True,5.04102155278803e-07,5.130980111719903e-09,9.476598290180313e-09,7.550491906127227e-09,0.0020160675048828125
10.0,4,1.0,0.01,8,126,True,1.5268949967604781e-07,1.6648218267008403e-07,2.796749222827897e-09,3.708109040789475e-09,0.0019829273223876953
10.0,4,10.0,0.01,8,165,True,2.697676873643828e-08,5.019746301415214e-08,1.3335930702122203e-10,3.157425494368445e-10,0.0010008811950683594
10.0,4,100.0,0.01,8,166,True,2.6304833031682195e-08,6.592006052140301e-07,4.437259612012889e-10,4.807006419654003e-09,0.0010097026824951172
10.0,4,1000.0,0.01,9,199,True,7.209633043130216e-10,9.493111630211129e-07,6.4967013504799e-12,3.56821363643033e-09,0.0019996166229248047
10.0,4,10000.0,0.01,10,250,True,3.42366676987243e-11,1.0446787767066265e-07,1.1510523536043008e-13,1.8214905511042134e-09,0.0019998550415039062
10.0,4,0.0001,0.0001,500,7000,False,32.33136411685068,2.3760092242925717e-06,1.0683447642821595,0.3347408174150981,0.06313776969909668
10.0,4,0.001,0.0001,500,7392,False,0.03826074244507884,1.493606384253191e-08,0.0008251968284759721,0.0005616167861089882,0.0670158863067627
10.0,4,0.01,0.0001,137,1918,True,9.909991839497959e-07,4.851632484846289e-12,1.6341909543932655e-08,1.5040796127463265e-08,0.017474889755249023
10.0,4,0.1,0.0001,21,391,True,5.099804925371762e-07,7.714677932639405e-11,9.401085433930352e-09,7.647852605451087e-09,0.004002809524536133
10.0,4,1.0,0.0001,7,194,True,2.3492694628100888e-07,1.3450650360814294e-09,5.332939760224435e-09,3.430725290127542e-09,0.002004861831665039
10.0,4,10.0,0.0001,4,116,True,1.0012973607825898e-07,7.595066195453841e-08,1.844443593636578e-09,1.1390779883246204e-09,0.0009951591491699219
10.0,4,100.0,0.0001,4,153,True,1.719369371503572e-08,3.899637263267394e-08,8.938708377932243e-11,3.4921827728465225e-10,0.0010006427764892578
10.0,4,1000.0,0.0001,4,174,True,1.9593828821997946e-07,3.544141778101329e-07,5.708079862269369e-10,5.436534701728993e-09,0.0010192394256591797
10.0,4,10000.0,0.0001,6,280,True,8.293463874320048e-12,2.180284459380838e-09,6.18241010236685e-14,3.657763475374001e-11,0.0019779205322265625
10.0,4,0.0001,1e-06,500,10610,False,32.331364376476486,2.2763901348305658e-08,1.068344761787807,0.3347408205321272,0.0885770320892334
10.0,4,0.001,1e-06,500,10500,False,0.038260761319725785,2.4056910147554437e-10,0.000825196931398937,0.0005616171232195469,0.08559727668762207
10.0,4,0.01,1e-06,137,2876,True,9.910227969622765e-07,4.718921308369893e-14,1.6342052301402293e-08,1.5041192864787135e-08,0.023899316787719727
10.0,4,0.1,1e-06,21,565,True,5.100276001454461e-07,7.674008775436186e-13,9.400821950852535e-09,7.648653618495653e-09,0.005480289459228516
10.0,4,1.0,1e-06,7,263,True,2.3520939552449268e-07,2.080482705427826e-11,5.313089727497581e-09,3.4375412061937966e-09,0.00200653076171875
10.0,4,10.0,1e-06,4,198,True,1.0242654563661976e-07,5.88208343018207e-10,2.7790855151281528e-09,1.4471205276220867e-09,0.0019922256469726562
